Location0,Location1
Bristol England UK,375
Pinewood Studios Iver Heath Buckinghamshire England UK,1093
Lexington Kentucky USA,166
Afghanistan,206
Indonesia,270
Halifax Nova Scotia Canada,361
Ontario Canada,623
Columbia/Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California USA,893
Metromedia Square - 5746 W. Sunset Blvd. Hollywood Los Angeles California USA,1385
Universal Studios - 100 Universal City Plaza Universal City California USA,5934
Chatsworth Los Angeles California USA,163
Union Station - 800 N. Alameda Street Downtown Los Angeles California USA,112
Griffith Observatory 2800 E Observatory Rd Los Angeles California USA,120
Orange County California USA,172
Newport Beach California USA,124
Santa Ana California USA,149
Thailand,658
Haiti,153
Slovenia,115
Houston Texas USA,1412
Old Tucson - 201 S. Kinney Road Tucson Arizona USA,350
Sonoran Desert Arizona USA,183
Sedona Arizona USA,196
Arizona USA,530
Tucson Arizona USA,704
Alabama Hills Lone Pine California USA,359
Mumbai Maharashtra India,1031
Roma Lazio Italy,369
Chattanooga Tennessee USA,106
Massachusetts USA,228
New Jersey USA,1103
Essen North Rhine-Westphalia Germany,102
Mallorca Balearic Islands Spain,214
Kaufman Astoria Studios - 3412 36th Street Astoria Queens New York City New York USA,782
Utah USA,473
Costa Rica,177
Tijuana Baja California Norte Mexico,216
Columbus Ohio USA,396
Michigan USA,344
Silvercup Studios - 4222 22nd Street Long Island City Queens New York City New York USA,370
Studio 8H NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York USA,2982
Silvercup Studios East Long Island City Queens New York City New York USA,364
Augusta Georgia USA,332
Beverly Hills California USA,599
Milwaukee Wisconsin USA,379
Paris le-de-France France,187
Kansas City Missouri USA,393
O'ahu Hawaii USA,478
Serbia,204
Tempe Arizona USA,164
West Palm Beach Florida USA,150
Mlaga Mlaga Andaluca Spain,152
Jersey City New Jersey USA,334
Manchester Greater Manchester England UK,553
Cardiff South Glamorgan Wales UK,245
Melbourne Victoria Australia,1620
Cuba,332
Venezuela,147
Morocco,651
Caracas Venezuela,713
Wales UK,265
Belfast County Antrim Northern Ireland UK,284
Salzburg Salzburg Austria,139
Portugal,534
CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California USA,6482
Amsterdam Noord-Holland Netherlands,1018
Bronx New York USA,105
San Juan Puerto Rico,205
St. Paul Minnesota USA,269
Nice Alpes-Maritimes France,333
Marrakech Morocco,154
Culver City California USA,390
Lithuania,159
Kiel Schleswig-Holstein Germany,113
Zrich Kanton Zrich Switzerland,213
Hawaii USA,938
San Antonio Texas USA,667
North Hollywood California USA,140
Genoa Liguria Italy,121
Porto Portugal,309
Cambodia,229
Dublin Ireland,368
Singapore,525
Porto Alegre Rio Grande do Sul Brazil,229
Sherman Oaks Los Angeles California USA,229
Barcelona Spain,123
Trenton New Jersey USA,135
Washington DC USA,192
Cleveland Ohio USA,714
Marbella Mlaga Andaluca Spain,116
Malta,272
Leeds West Yorkshire England UK,233
Nottingham Nottinghamshire England UK,201
Southampton Hampshire England UK,150
Pakistan,152
Cairo Egypt,404
Beirut Lebanon,172
Akron Ohio USA,104
Norfolk Virginia USA,110
Virginia Beach Virginia USA,136
Silver Lake Los Angeles California USA,102
Naples Campania Italy,430
Reykjavk Iceland,230
Norway,417
Stage 14 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,886
Stage 17 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,953
Stage 21 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,342
3401 Exposition Blvd. Santa Monica California USA,244
Walt Disney Studios 500 South Buena Vista Street Burbank California USA,1115
Revue Studios Hollywood Los Angeles California USA,1957
Switzerland,626
Austria,450
Stage 14 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,255
Texas USA,882
South Korea,398
Raleigh Manhattan Beach Studios - 1600 Rosecrans Avenue Manhattan Beach California USA,561
Torrance California USA,116
Walt Disney's Golden Oak Ranch - 19802 Placerita Canyon Road Newhall California USA,102
Pasadena California USA,860
Redondo Beach California USA,198
Long Beach California USA,1217
Huntington Beach California USA,169
Manhattan Beach California USA,127
Glendale California USA,593
Santo Domingo Dominican Republic,309
Lawrence Kansas USA,203
Ohio USA,195
Dhaka Bangladesh,271
Hong Kong,238
Liverpool Merseyside England UK,330
Cincinnati Ohio USA,389
Orlando Florida USA,1202
Scotland UK,1941
Oaxaca Mexico,161
North Carolina USA,453
Casablanca Morocco,150
Perth Western Australia Australia,333
Sri Lanka,175
San Fernando Valley Los Angeles California USA,254
Cornwall England UK,249
Northern Ireland UK,127
So Paulo Brazil,239
Nigeria,108
Regina Saskatchewan Canada,121
Israel,1136
Stockton California USA,105
Turkey,512
Western Australia Australia,125
Malaysia,264
Vietnam,226
Niagara Falls Ontario Canada,183
Rome Italy,308
Florence Tuscany Italy,270
Victorville California USA,118
Macau China,150
Calcutta West Bengal India,127
Chennai Tamil Nadu India,250
Delhi India,223
Oxford Oxfordshire England UK,217
Qubec Qubec Canada,122
Bray Studios Down Place Oakley Green Berkshire England UK,118
South Pasadena California USA,117
Glasgow Strathclyde Scotland UK,334
Mozambique,108
Adelaide South Australia Australia,562
Iceland,455
Lancaster California USA,245
Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd. Culver City California USA,4497
The Lot - 1041 N. Formosa Avenue West Hollywood California USA,448
Westminster London England UK,110
Slovakia,127
Oklahoma USA,161
Sicily Italy,180
Edmonton Alberta Canada,398
Vermont USA,130
Richmond Virginia USA,283
Colorado Springs Colorado USA,174
Bali Indonesia,167
Charleston South Carolina USA,403
Kenya,413
Queensland Australia,312
South Australia Australia,488
Victoria Australia,197
Bradford West Yorkshire England UK,137
New South Wales Australia,263
Netherlands,511
Galveston Texas USA,104
Tuscany Italy,142
Egypt,411
Hungary,771
Televisa San Angel Mexico City Distrito Federal Mexico,126
Mexico City Mexico,182
China,769
Hotel Presidente Luanda Luanda Angola Africa,203
Parque Nacional da Quiama Angola Africa,203
Quedas de gua de Kalandula Angola Africa,191
Taipei City Taiwan,173
Tunisia,186
Central Park Manhattan New York City New York USA,375
Yonkers New York USA,155
Long Island New York USA,646
Lahore Pakistan,103
Virginia USA,256
Cyprus,110
Brisbane Queensland Australia,512
Wembley Studios Wembley London England UK,254
Southern California California USA,160
Indianapolis Indiana USA,332
Riverside California USA,248
Reno Nevada USA,205
Jakarta Indonesia,191
Metro Manila Philippines,452
Santa Barbara California USA,415
Kentucky USA,199
Portland Oregon USA,1268
Gainesville Florida USA,116
Sacramento California USA,605
Corpus Christi Texas USA,104
Ventura California USA,207
Scottsdale Arizona USA,199
Helsinki Finland,1308
Lissewege Flanders Belgium,249
St. John's Newfoundland Newfoundland and Labrador Canada,123
Luxembourg,240
Bergen Hordaland Norway,128
Stuttgart Baden-Wrttemberg Germany,302
Cannes Alpes-Maritimes France,193
ABC Television Center - 4151 Prospect Avenue Los Angeles California USA,988
Des Moines Iowa USA,200
Portsmouth Hampshire England UK,151
Chiapas Mexico,109
Sofia Bulgaria,360
Cabo San Lucas Baja California Sur Mexico,105
Whittier California USA,122
Lebanon,177
Oakville Ontario Canada,135
Acapulco Guerrero Mexico,267
Yellowstone National Park Wyoming USA,106
Stage 1 NBC Studios - 3000 W. Alameda Avenue Burbank California USA,330
Dubai United Arab Emirates,314
Mississauga Ontario Canada,180
Desilu Studios - 9336 W. Washington Blvd. Culver City California USA,4017
Windsor Ontario Canada,139
Minnesota USA,264
Van Nuys Los Angeles California USA,338
Tampere Finland,233
Simi Valley California USA,183
Taiwan,288
Laguna Beach California USA,118
Marseille Bouches-du-Rhne France,305
Pepper Jay Productions Hollywood Los Angeles California USA,506
Downtown Los Angeles California USA,563
Valencia Comunidad Valenciana Spain,339
Monterrey Nuevo Len Mexico,285
Blackpool Lancashire England UK,120
Paramount Ranch - 2813 Cornell Road Agoura California USA,450
Colonial Street Backlot Universal Studios - 100 Universal City Plaza Universal City California USA,141
Griffith Park - 4730 Crystal Springs Drive Los Angeles California USA,239
Toluca Lake Los Angeles California USA,101
Venice Los Angeles California USA,382
Marina del Rey California USA,283
Los Angeles International Airport - 1 World Way Los Angeles California USA,201
North Hollywood Los Angeles California USA,582
City Hall - 200 N. Spring Street Downtown Los Angeles California USA,208
Hollywood Boulevard Hollywood Los Angeles California USA,136
Los Feliz Los Angeles California USA,127
Venice Beach Venice Los Angeles California USA,233
Big Bear Lake Big Bear Valley San Bernardino National Forest California USA,335
Bay Area San Francisco California USA,153
Devon England UK,131
Kent England UK,193
Norfolk England UK,102
Izmir Turkey,102
Montevideo Uruguay,145
Fort Worth Texas USA,328
Kaua'i Hawaii USA,108
Riverside Studios Hammersmith London England UK,513
Fiji,112
Hyderabad Telangana India,361
Stage 3 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,623
Stage 9 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,1411
Palm Springs California USA,360
Big Bear Valley San Bernardino National Forest California USA,103
California Studios - 5530 Melrose Avenue Hollywood Los Angeles California USA,133
Corriganville Ray Corrigan Ranch Simi Valley California USA,382
Hal Roach Studios - 8822 Washington Blvd. Culver City California USA,2327
Iverson Ranch - 1 Iverson Lane Chatsworth Los Angeles California USA,1021
Palmdale California USA,276
Columbia/Warner Bros. Ranch - 411 North Hollywood Way Burbank California USA,129
Lone Pine California USA,140
Melody Ranch - 24715 Oak Creek Avenue Newhall California USA,126
Walker Ranch - 19152 Placerita Canyon Road Newhall California USA,184
Rio de Janeiro Brazil,306
Ghana,165
Tanzania,170
Uganda,220
Zimbabwe,135
Lagos Nigeria,153
Namibia,165
Seoul South Korea,441
Mississippi USA,140
CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,1751
Langley British Columbia Canada,130
Tel Aviv Israel,500
Tehran Iran,897
Surrey England UK,160
Twickenham Film Studios St Margarets Twickenham Middlesex England UK,249
Greece,389
Savannah Georgia USA,484
Greystone Park & Mansion - 905 Loma Vista Drive Beverly Hills California USA,121
Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue Arcadia California USA,125
Palermo Sicily Italy,114
Shanghai China,534
Tampa Florida USA,543
Bournemouth Dorset England UK,199
Fort Lauderdale Florida USA,275
Pennsylvania USA,392
Backlot Universal Studios - 100 Universal City Plaza Universal City California USA,138
Red Rock Canyon State Park - Highway 14 Cantil California USA,153
Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd. Agua Dulce California USA,351
Espoo Finland,102
Turku Finland,199
Grand Canyon National Park Arizona USA,117
Africa,112
Syria,103
Bangladesh,131
Finland,282
Times Square Manhattan New York City New York USA,180
Alaska USA,373
Brandenburg Germany,134
Brussels Belgium,208
Montana USA,181
Wyoming USA,112
New Hampshire USA,133
Rhode Island USA,138
Oslo Norway,576
Republic Studios - 4024 Radford Avenue North Hollywood Los Angeles California USA,1900
Lyon Rhne Rhne-Alpes France,148
Stage 36 Universal Studios - 100 Universal City Plaza Universal City California USA,428
Los Angeles Center Studios - 450 S. Bixel Street Downtown Los Angeles California USA,300
San Pedro Los Angeles California USA,311
Stage 4 Walt Disney Studios 500 South Buena Vista Street Burbank California USA,105
Santa Monica Pier Santa Monica California USA,158
Ambassador Hotel - 3400 Wilshire Boulevard Los Angeles California USA,114
Bronson Canyon Griffith Park - 4730 Crystal Springs Drive Los Angeles California USA,203
Stage 7 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,1320
Studio 41 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,262
Stage 3 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,594
Tasmania Australia,114
Stage 9 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,788
Cambridge Cambridgeshire England UK,155
Essex England UK,133
Sheffield South Yorkshire England UK,180
Isle of Man,135
Connecticut USA,316
Studio 31 CBS Television City - 7800 Beverly Blvd. Fairfax Los Angeles California USA,444
KTTV/Fox Television Center - 5746 W. Sunset Blvd. Hollywood Los Angeles California USA,402
Bavaria Studios Bavariafilmplatz 7 Geiselgasteig Grnwald Bavaria Germany,532
Karachi Pakistan,177
Frankfurt am Main Hessen Germany,291
Dominican Republic,321
Ren-Mar Studios - 846 N. Cahuenga Blvd. Hollywood Los Angeles California USA,483
Donostia-San Sebastin Guipzcoa Pas Vasco Spain,123
Albuquerque New Mexico USA,895
Maui Hawaii USA,129
Los Angeles County California USA,232
Durango Mexico,164
Louisville Kentucky USA,351
Denmark,411
New Mexico USA,516
CBS Studio 52 New York City New York USA,635
Qubec Canada,217
Catalunya Spain,168
Stage 31 Universal Studios - 100 Universal City Plaza Universal City California USA,165
NBC Studios - 3000 W. Alameda Avenue Burbank California USA,2339
Raleigh North Carolina USA,264
Kansas USA,105
Bahamas,119
South Carolina USA,147
Golden Gate Bridge San Francisco California USA,107
Nevada USA,175
Santa Fe New Mexico USA,384
Oakland California USA,577
Winston-Salem North Carolina USA,221
Arlington Virginia USA,142
Salt Lake City Utah USA,884
Oklahoma City Oklahoma USA,241
Jacksonville Florida USA,584
Little Rock Arkansas USA,138
Georgia USA,336
Milan Lombardia Italy,575
Fort Lee New Jersey USA,204
Alexandria Virginia USA,103
Oregon USA,259
Wisconsin USA,165
Cambridge Massachusetts USA,177
Providence Rhode Island USA,277
Illinois USA,177
Williamsburg Brooklyn New York City New York USA,163
Colorado USA,376
NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York USA,2517
Arkansas USA,101
Wilmington North Carolina USA,979
Greenwich Village Manhattan New York City New York USA,118
Maine USA,181
Honolulu O'ahu Hawaii USA,268
Indiana USA,136
Harrisburg Pennsylvania USA,103
Asheville North Carolina USA,165
Omaha Nebraska USA,192
Niagara Falls New York USA,140
Astoria Queens New York City New York USA,166
Queens New York City New York USA,438
Evanston Illinois USA,108
Echo Park Los Angeles California USA,134
Marietta Georgia USA,114
Iraq,177
Bolivia,141
Mojave Desert California USA,242
Santa Catalina Island Channel Islands California USA,173
Gold Coast Queensland Australia,325
Lima Peru,199
Sarasota Florida USA,163
New Delhi Delhi India,186
El Paso Texas USA,179
Maryland USA,228
Kyoto Japan,183
Kolkata West Bengal India,296
Bahrain,105
New Haven Connecticut USA,144
Brampton Ontario Canada,116
Ukraine,264
Gothenburg Vstra Gtalands ln Sweden,203
Belgrade Serbia,632
Stage 29 Universal Studios - 100 Universal City Plaza Universal City California USA,411
Stage 17 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,472
Stage 6 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,112
Stage 7 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,175
Thousand Oaks California USA,125
MediaPro Studios Bucharest Romania,263
Columbus Zoo and Aquarium - 4850 W Powell Road Powell Ohio USA,119
Brooklyn Bridge New York City New York USA,102
Coney Island Brooklyn New York City New York USA,264
Nairobi Kenya,181
San Jose California USA,347
Paraguay,123
Wroclaw Dolnoslaskie Poland,198
Soho London England UK,145
Newhall California USA,120
JC Studios Brooklyn New York City New York USA,127
Bologna Emilia-Romagna Italy,196
Honolulu Hawaii USA,103
Transylvania Romania,161
Stockholm Sweden,259
Palestine,148
Bratislava Slovakia,200
Madison Wisconsin USA,191
Croatia,243
Stage 22 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,321
Estonia,111
Woodland Hills Los Angeles California USA,162
Iran,191
Goa India,197
Ethiopia,172
Kathmandu Nepal,136
Nepal,230
Associated British Elstree Studios Shenley Road Borehamwood Hertfordshire England UK,353
Armenia,138
Yugoslavia,106
Newark New Jersey USA,219
Stage 5 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,686
Downtown Chicago Illinois USA,101
Dayton Ohio USA,175
Barcelona Barcelona Catalonia Spain,257
Tower Bridge Business Complex Bermondsey London England UK,110
BBC Lime Grove Studios Lime Grove Shepherds Bush Hammersmith London England UK,102
Stage 29 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,255
Kazakhstan,101
Algeria,110
Beaconsfield Studios Beaconsfield Buckinghamshire England UK,112
Shreveport Louisiana USA,296
Altadena California USA,129
Joshua Tree California USA,122
Irvine California USA,155
Winter Park Florida USA,173
Malm Skne ln Sweden,125
Alicante Comunidad Valenciana Spain,145
,107
Lime Grove Studios Lime Grove Shepherd's Bush London England UK,211
Ludwigsburg Baden-Wrttemberg Germany,101
Provo Utah USA,182
Stage 17 CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California USA,193
Studio Babelsberg Potsdam Brandenburg Germany,120
Republic Studios Hollywood Los Angeles California USA,601
Columbia South Carolina USA,109
Grand Rapids Michigan USA,237
Ogden Utah USA,105
West London Film Studios London England UK,180
Stage 3 CBS Studio Center - 4024 Radford Avenue Studio City Los Angeles California USA,112
York North Yorkshire England UK,108
Mumbai India,202
Nova Scotia Canada,127
Baton Rouge Louisiana USA,335
Guadeloupe Dpartements d'Outre-Mer France,111
Surrey British Columbia Canada,113
Tribune Studios - 5800 Sunset Blvd. Hollywood Los Angeles California USA,104
Cinecitt Studios Cinecitt Rome Lazio Italy,793
Stage 11 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,572
Stage 4 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,563
Stage 5 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,518
Faithful Word Baptist Church West Southern Avenue Tempe Arizona USA,256
Orange California USA,346
Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California USA,785
Matar Barcelona Catalonia Spain,175
Fullerton California USA,105
Peter Strauss Ranch - 3000 Mulholland Highway Agoura Hills California USA,229
Samuel Goldwyn Studios - 7200 Santa Monica Boulevard West Hollywood California USA,857
Santa Paula California USA,183
Fresno California USA,142
Bronson Caves Bronson Canyon Griffith Park - 4730 Crystal Springs Drive Los Angeles California USA,176
Georgia,147
University of British Columbia Robson Square Campus - 800 Robson Street Vancouver British Columbia Canada,161
KTLA Studios - 5858 Sunset Blvd. Hollywood Los Angeles California USA,208
Syracuse New York USA,141
Boulder Colorado USA,260
LA Castle Studios Burbank California USA,208
Eugene Oregon USA,120
15001 Calvert Street Van Nuys Los Angeles California USA,327
Encino Los Angeles California USA,109
Stage 28 Universal Studios - 100 Universal City Plaza Universal City California USA,133
Dreamworld - Dreamworld Parkway Coomera Gold Coast Queensland Australia,147
Elstree Studios Borehamwood Hertfordshire England UK,415
Monterey California USA,118
Santa Clarita Studios - 25135 Anza Drive Santa Clarita California USA,319
Pune Maharashtra India,175
Flagstaff Arizona USA,111
Mesa Arizona USA,131
Baden-Baden Baden-Wrttemberg Germany,162
Tacoma Washington USA,143
Gamlestadens fabriker Gothenburg Vstra Gtalands ln Sweden,448
Plymouth Devon England UK,200
Krakw Malopolskie Poland,247
Herkimer New York USA,110
Bakersfield California USA,151
Bavaria Germany,136
Berliner Union-Film Oberlandstrae 26-35 Tempelhof Berlin Germany,202
Park City Utah USA,126
St. Petersburg Florida USA,151
Studios de Paris La Cit du Cinma Saint-Denis Seine-Saint-Denis France,699
Queens New York USA,123
The Royce Hotel - 379 St. Kilda Road Melbourne Victoria Australia,123
Media City UK Salford Greater Manchester England UK,248
Boise Idaho USA,109
Ibiza Balearic Islands Spain,146
Harlem Manhattan New York City New York USA,139
Greenpoint Brooklyn New York City New York USA,101
Hoboken New Jersey USA,177
Kiev Ukraine,207
Stage 18 Paramount Studios - 5555 Melrose Avenue Hollywood Los Angeles California USA,369
Stage 27 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,549
Stage 27A Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,490
Stage 28 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,1028
Stage 28A Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,762
Big Sky Ranch - 4927 Bennett Road Simi Valley California USA,266
Lake Tahoe California USA,110
Stage 6 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,438
Piccadilly Circus Piccadilly London England UK,104
Trafalgar Square St James's London England UK,115
Kanab Utah USA,140
Iowa USA,119
Barrandov Studios Prague Czech Republic,214
Red Studios 846 N. Cahuenga Blvd. Hollywood Los Angeles California USA,108
Stage 18 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,532
Agoura Hills California USA,116
Stage 20 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,752
Panama,112
Stage 22 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,853
Granada Studios Manchester Greater Manchester England UK,129
University of Southern California Los Angeles California USA,169
Stage 25 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,949
1800 Stewart St. Santa Monica California USA,165
Hawthorne California USA,134
Inglewood California USA,107
Temecula California USA,102
Elios Studios Rome Lazio Italy,116
Playboy Mansion - 10236 Charing Cross Road Holmby Hills Los Angeles California USA,116
Stage 16 20th Century Fox Studios - 10201 Pico Blvd. Century City Los Angeles California USA,250
Oshawa Ontario Canada,114
New Westminster British Columbia Canada,115
CBS Studio 50 New York City New York USA,1079
Buffalo New York USA,398
Albany New York USA,163
Veterans Hospital - 16111 Plummer Street North Hills Los Angeles California USA,246
Valencia California USA,167
Raleigh Studios - 5300 Melrose Avenue Hollywood Los Angeles California USA,316
Kernville California USA,163
Anaheim California USA,193
Calabasas California USA,264
Sierra Railroad Jamestown California USA,139
Lake Arrowhead San Bernardino National Forest California USA,153
Ardmore Studios Herbert Road Bray County Wicklow Ireland,150
Tallahassee Florida USA,223
Las Cruces New Mexico USA,110
Stage 30 Universal Studios - 100 Universal City Plaza Universal City California USA,485
Ste Hrault France,132
Yuma Arizona USA,139
Biograph Studios Bronx New York City New York USA,346
Northridge Los Angeles California USA,105
Ann Arbor Michigan USA,163
North Bay Ontario Canada,101
Stage 35 Universal Studios - 100 Universal City Plaza Universal City California USA,310
Stage 37 Universal Studios - 100 Universal City Plaza Universal City California USA,1451
Stage 15 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California USA,115
Sonora California USA,107
Toledo Castilla-La Mancha Spain,133
Alabama USA,159
